DATE,CPI,Federal_Funds,Unemployment,Wages,Labor_output,GDP
1/1/1996,2.88522,5.363333333,1.87428,-0.31949,1.66034,2.60111
4/1/1996,2.6545,5.243333333,-2.52866,-0.63694,2.15109,4.00206
7/1/1996,2.637,5.306666667,-5.74058,-0.94637,2.55643,4.04982
10/1/1996,2.57774,5.28,-2.96253,0,2.05667,4.42122
1/1/1997,2.47917,5.276666667,-3.89657,0.32051,1.19133,4.31406
4/1/1997,2.52525,5.523333333,-7.3223,0.64103,1.72131,4.30807
7/1/1997,2.30831,5.533333333,-6.03359,0,2.18922,4.67389
10/1/1997,2.23375,5.506666667,-10.60409,0.31949,2.62759,4.48786
1/1/1998,2.26056,5.52,-10.17874,1.91693,3.44929,4.85529
4/1/1998,2.18719,5.5,-10.46391,1.59236,2.49611,4.09597
7/1/1998,2.35433,5.533333333,-5.92901,2.2293,3.02751,4.09774
10/1/1998,2.34101,4.86,-4.29359,4.4586,3.299,4.87911
1/1/1999,2.17181,4.733333333,-6.42019,1.5674,4.06303,4.82407
4/1/1999,2.08253,4.746666667,-2.46703,3.1348,3.75014,4.66137
7/1/1999,2.01265,5.093333333,-5.12328,2.80374,3.33595,4.72039
10/1/1999,2.02059,5.306666667,-6.87052,2.13415,4.10731,4.80665
1/1/2000,2.23951,5.676666667,-3.1953,3.08642,2.60522,4.19958
4/1/2000,2.39894,6.273333333,-4.85043,1.51976,4.42801,5.29774
7/1/2000,2.53664,6.52,-3.11059,1.51515,3.3596,4.07533
10/1/2000,2.57848,6.473333333,-1.98285,-0.29851,2.9116,2.97348
1/1/2001,2.65454,5.593333333,5.51477,-0.2994,2.60986,2.30971
4/1/2001,2.63789,4.326666667,12.38011,0.5988,2.40355,1.05724
7/1/2001,2.65714,3.496666667,20.56313,0.89552,2.89667,0.50359
10/1/2001,2.71403,2.133333333,42.5299,1.79641,3.09102,0.15349
1/1/2002,2.53165,1.733333333,35.3257,2.4024,5.78856,1.31828
4/1/2002,2.42631,1.75,33.77061,0.89286,4.03206,1.33961
7/1/2002,2.26705,1.74,20.11846,-0.29586,4.39776,2.21437
10/1/2002,2.0571,1.443333333,6.31183,-1.17647,3.03228,2.09454
1/1/2003,1.83422,1.25,4.14963,-1.75953,1.90228,1.77093
4/1/2003,1.49149,1.246666667,6.59289,-0.29499,3.05,2.0284
7/1/2003,1.36149,1.016666667,7.54861,0,4.59668,3.30181
10/1/2003,1.16421,0.996666667,0.62041,0.29762,5.65181,4.32636
1/1/2004,1.31625,1.003333333,-2.71321,0.59701,4.18392,4.30456
4/1/2004,1.78077,1.01,-8.85646,0.88757,3.85886,4.20302
7/1/2004,1.80816,1.433333333,-10.34367,-0.59347,2.01602,3.43159
10/1/2004,2.1642,1.95,-6.62634,0,1.53485,3.28179
1/1/2005,2.30769,2.47,-6.10117,-0.29674,3.04699,3.87068
